Question_id,score,answers
1,0,أطول سورة في القرآن هي سورة الكوثر
1,0,أطول سورة في القرآن هي سورة النصر
1,0,هي سورة الكافرون
1,0,أطول سورة في القرآن هي سورة العصر
1,0,سورة الفيل
1,0,سورة الهمزة
1,0,قريش
1,0,أطول سورة في القرآن هي سورة العاديات
1,0,أطول سورة في القرآن هي سورة الأسراء
1,0,سورة الروم
1,0,أطول سورة في القرآن هي سورة الشمس
1,0,الضحى
1,0,سورة الإنسان
2,5,اقصر واحدة هي الكوثر
2,5,الكوثر
2,5,الكوثرهي اقصر سورة
2,5,هي الكوثر
2,5,سورةالكوثر
2,5,اقصر سورة في القرآن هي الكوثر
2,5,اقصر سورة هي الكوثر
2,5,أقصر سورة في القرآن الكريم هي سورة الكوثر
2,5,أقصر سورة في القرآن الكريم هي:الكوثر
2,5,الكوثرهي اقصر سورة في القران
2,5,أقصر سورة في القرآن الكريم هي سورة الكوثر
2,5,أقصر سورة في القرآن الكريم هي: الكوثر
2,5,الكوثرهي اقصر سورة في القران
2,5,سورة الكوثر هي الأقصر في القرآن
2,5,سورة الكوثر هي الأقصر في القرآن الكريم
2,5,الكوثر هي أقصر سورة في القرآن
2,1,سورة الكوثر هي السورة رقم 108 في القرآن الكريم
2,3,الكوثر هي سورة قصيرة تتألف من ثلاث آيات
2,2,سورة الكوثر تعد واحدة من السور المكية
2,2,الكوثر هي سورة مكية نزلت على النبي محمد صلى الله عليه وسلم
2,1,سورة الكوثر تعبر عن فضل الله على النبي محمد صلى الله عليه وسلم
2,1,الكوثر تعني الخير والنعمة الوفيرة التي وهبها الله
2,1,سورة الكوثر تبين عظمة الله وكرمه تجاه النبي صلى الله عليه وسلم
2,1,الكوثر تحث على شكر الله والرجوع إليه في كل الأمور
2,1,سورة الكوثر تحمل في مضمونها الرسالة الإيمانية والتوجيه الإلهي
2,2,الكوثر تذكر المسلمين بأهمية الشكر والامتنان لنعم الله
2,5,الكوثر هي أقصر سورة في القرآن الكريم
2,5,سورة الكوثر هي أقصر سورة في القرآن
2,4,تعتبر سورة الكوثرأصغر سورة في القرآن الكريم
2,4,سورة الكوثر تأتي في المرتبة الأولى من حيث القصر في القرآن
2,5,أقصر سورة في القرآن هي سورة الكوثر
2,4,في القرآن، تأتي سورة الكوثر في صدارة السور من حيث القصر
2,4,سورة الكوثر تحتل المرتبة الأدنى من حيث الطول في القرآن
2,4,السورة الأقل طولًا في القرآن هي سورة الكوثر
2,3,سورة الكوثر هي السورة التي تأتي في النهاية بالنسبة للقصر في القرآن
2,4,سورة الكوثر هي السورة الأقل طولًا في القرآن
2,2,سورة الكوثر تحتوي على عدد قليل جدًا من الكلمات والآيات
2,3,سورة الكوثر هي السورة ذات القصر الأكبر في القرآن الكريم
2,4,في القرآن الكريم، تُعتبر سورة الكوثر هي الأقصر
2,1,سورة الكوثر هي السورة التي يتعلمها الأطفال في بداية دراسة القرآن
2,3,هناك سورة واحدة تبرز في القرآن بقصرها، وهي سورة الكوثر
2,2,سورة الكوثر تحتوي على عدد قليل جدًا من الكلمات والآيات
2,2,في سورة الكوثر، يتم التركيز على فضل الله وكرمه للنبي محمد صلى الله عليه وسلم
2,2,سورة الكوثر تتميز بأنها السورة الأقل تعقيدًا في القرآن
2,1,سورة الكوثر تحتوي على رسالة قصيرة وهامة للمؤمنين
2,2,سورة الكوثر تعد واحدة من السور القصيرة والمفيدة في القرآن
2,2,سورة الكوثر تعلمنا أن العمل الصالح والإحسان هما طريق النجاح والسعادة
2,2,سورة الكوثر تذكرنا بأن الله هو المنعم الحقيقي والمؤتمن على كل خير
2,2,سورة الكوثر تعد بمثابة تذكير للمسلمين بأهمية العطاء والسخاء
2,2,في سورة الكوثر، يوجه الله تعالى النبي محمد صلى الله عليه وسلم بالشكر والحمد
2,2,في سورة الكوثر، يتم تشجيع المسلمين على العمل الصالح والعطاء
2,2,سورة الكوثر تعلم المسلمين أن النجاح الحقيقي يأتي من الله وبفضله
2,2,في سورة الكوثر، يتم حث المسلمين على البذل والعطاء للمحتاجين
2,2,سورة الكوثر تحثنا على السخاء والعطاء للآخرين
2,2,سورة الكوثر تدعو المسلمين إلى الاحتفال بنعم الله والشكر له
2,2,سورة الكوثر تذكرنا بأن الله هو الكافي والمعطي الكريم
2,2,في سورة الكوثر، يتم التركيز على أهمية التواضع والشكر لله
2,2,سورة الكوثر تذكرنا بأن الله يمنحنا الخير بغزارة وسخاء
2,2,سورة الكوثر تعلمنا أن الله يحب العمل الصالح والعبادة الخالصة
2,0,أقصر سورة في القرآن هي سورة الفاتحة
2,0,هي سورة الإخلاص
2,0,الفلق
2,0,النصر هي أقصر سورة في القرآن الكريم
2,0,سورة الكافرون الأقصر في الكتاب المقدس
2,0,سورة قريش
2,0,سورة العاديات
2,0,سورة الاسراء
2,0,سورة الضحى
2,0,سورة الشمس
2,0,الروم
2,0,هي سورة العصر
2,0,سورة الفيل
2,0,سورة الهمزة
2,0,البقرة
3,5,اسم زوجة فرعون في القرآن الكريم هي أسية بنت مزاحم
3,4,أسية هو اسم زوجة فرعون
3,4,اسم زوجته هو أسية
3,4,اسمها هوأسية
3,4,اسم زوجة فرعون هوأسية
3,4,اسمها:أسية
3,4,أسية
3,5,أسية بنت مزاحم
3,4,اسم زوجة فرعون والتي ذكرت في القرآن الكريم هوأسية
3,4,في القرآن الكريم، اسم زوجة فرعون هو أسية بنت مزاحم
3,4,أسية هي الزوجة التي ذكرت في القرآن الكريم مع فرعون
3,4,في الكتاب المقدس، أسم زوجة فرعون هو أسية
3,5,أسية بنت مزاحم كانت زوجة فرعون
3,4,زوجة فرعون في القرآن الكريم هي أسية
3,5,في القرآن الكريم، زوجة فرعون تدعى أسية بنت مزاحم
3,4,أسية هي الزوجة التي تحدث عنها القرآن في قصة فرعون
3,4,في الكتاب المقدس، يُذكر اسم زوجة فرعون بأسية
3,5,أسية بنت مزاحم، هي الزوجة التي ذكرت في القرآن مع فرعون
3,4,في سفر القرآن، يذكر اسم زوجة فرعون بأسية
3,4,أسية هي امرأة فرعون التي ذُكرت في الكتاب المقدس
3,4,في القرآن، يتحدث عن زوجة فرعون واسمها أسية
3,5,أسية بنت مزاحم، الزوجة التي ذُكرت مع فرعون في القرآن
3,5,في القرآن الكريم، امرأة فرعون تُدعى أسية بنت مزاحم
3,4,أسية هي الزوجة التي تظهر في القصة مع فرعون في القرآن
3,4,في الكتاب المقدس، يُذكر اسم زوجة فرعون بأسية
3,5,أسية بنت مزاحم، زوجة فرعون الذكرى في القرآن
3,4,في القرآن الكريم، يُذكر اسم زوجة فرعون بأسية
3,4,أسية هي الزوجة التي ذُكرت في قصة فرعون في الكتاب المقدس
3,5,زوجة فرعون في القرآن تُدعى أسية بنت مزاحم
3,5,أسية بنت مزاحم، امرأة فرعون في القرآن الكريم
3,5,أسية بنت مزاحم
3,4,اسم زوجة فرعون والتي ذكرت في القرآن الكريم هو أسية
3,5,في القرآن الكريم، اسم زوجة فرعون هو أسية بنت مزاحم
3,4,أسية هي الزوجة التي ذكرت في القرآن الكريم مع فرعون
3,4,في الكتاب المقدس، أسم زوجة فرعون هو أسية
3,5,أسية بنت مزاحم كانت زوجة فرعون
3,4,زوجة فرعون في القرآن الكريم هي أسية
3,5,في القرآن الكريم، زوجة فرعون تدعى أسية بنت مزاحم
3,4,أسية هي الزوجة التي تحدث عنها القرآن في قصة فرعون
3,4,في الكتاب المقدس، يُذكر اسم زوجة فرعون بأسية
3,5,أسية بنت مزاحم، هي الزوجة التي ذكرت في القرآن مع فرعون
3,4,في سفر القرآن، يذكر اسم زوجة فرعون بأسية
3,4,أسية هي امرأة فرعون التي ذُكرت في الكتاب المقدس
3,4,في القرآن، يتحدث عن زوجة فرعون واسمها أسية
3,5,أسية بنت مزاحم، الزوجة التي ذُكرت مع فرعون في القرآن
3,5,في القرآن الكريم، امرأة فرعون تُدعى أسية بنت مزاحم
3,4,أسية هي الزوجة التي تظهر في القصة مع فرعون في القرآن
3,4,في الكتاب المقدس، يُذكر اسم زوجة فرعون بأسية
3,5,أسية بنت مزاحم، زوجة فرعون الذكرى في القرآن
3,4,في القرآن الكريم، يُذكر اسم زوجة فرعون بأسية
3,4,أسية هو الزوجة التي ذُكرت في قصة فرعون في الكتاب المقدس
3,5,زوجة فرعون في القرآن تُدعى أسية بنت مزاحم
3,5,أسية بنت مزاحم، امرأة فرعون في القرآن الكريم
3,4,اسم زوجة فرعون والتي ذكرت في القرآن الكريم هو أسية
3,5,في القرآن الكريم، اسم زوجة فرعون هو أسية بنت مزاحم
3,4,أسية هو الزوجة التي ذكرت في القرآن الكريم مع فرعون
3,4,في الكتاب المقدس، أسم زوجة فرعون هو أسية
3,5,أسية بنت مزاحم كانت زوجة فرعون
3,4,زوجة فرعون في القرآن الكريم هي أسية
3,5,في القرآن الكريم، زوجة فرعون تدعى أسية بنت مزاحم
3,4,أسية هي الزوجة التي تحدث عنها القرآن في قصة فرعون
3,4,في الكتاب المقدس، يُذكر اسم زوجة فرعون بأسية
3,5,أسية بنت مزاحم، هي الزوجة التي ذكرت في القرآن مع فرعون
3,4,في سفر القرآن، يذكر اسم زوجة فرعون بأسية
3,4,أسية هي امرأة فرعون التي ذُكرت في الكتاب المقدس
3,4,في القرآن، يتحدث عن زوجة فرعون واسمها أسية
3,5,أسية بنت مزاحم، الزوجة التي ذُكرت مع فرعون في القرآن
3,5,في القرآن الكريم، امرأة فرعون تُدعى أسية بنت مزاحم
3,3,أسيا
3,3,أسيا - وفقًا للتراث اليهودي
3,3,زوجة فرعون تُدعى أسيا
3,3,أسيا هي اسم زوجة فرعون
3,3,يُدعى أسم زوجة فرعون بأسيا
3,3,اسم زوجة فرعون هو أسيا
3,3,يُشار إلى زوجة فرعون بأسم أسيا
3,3,تعرف زوجة فرعون باسم أسيا
3,3,أسيا هي الاسم الذي يطلق على زوجة فرعون
3,,زوجة فرعون معروفة بأسم أسيا
3,3,الاسم الصحيح لزوجة فرعون هو أسيا
3,3,أسية - وفقًا للتراث اليهودي
3,4,زوجة فرعون تُدعى أسية
3,4,أسية هي اسم زوجة فرعون
3,4,يُدعى أسم زوجة فرعون أسية
3,4,اسم زوجة فرعون هو أسية
3,,يُشار إلى زوجة فرعون بأسم أسية
3,4,تعرف زوجة فرعون باسم أسية
3,4,أسية هي الاسم الذي يطلق على زوجة فرعون
3,4,زوجة فرعون معروفة بأسم أسية
3,4,الاسم الصحيح لزوجة فرعون هو أسية
3,0,سارة
3,0,اسم الصحيح لزوجة فرعون هو
3,0,زوجة فرعون
3,0,عائشة
3,0,فاطمة
3,0,خديجة
3,0,مريم
3,0,زينب
3,0,أسماء
3,0,حفصة
3,0,رقية
3,0,صفية
3,0,سمية
3,0,ريحانة
3,0,جويرية
3,0,ميمونة
3,0,هند
3,0,أمينة
3,0,حبيبة
4,5,السيدة خديجة كانت تكبر النبي محمد صلى الله عليه وسلم بخمس عشرة سنة
4,5,السيدة خديجة كانت تكبر النبي محمد صلى الله عليه وسلم بخمسة عشرةعاما
4,5,كانت تكبرالنبي بخمس عشرةعاما
4,5,كانت تكبر النبي ص بخمس عشرةعاما
4,5,كانت تكبر النبي ص بخمس عشرة سنة
4,5,كانت تكبر النبي ص ب15 سنة
4,5,كانت تكبر النبي ص ب15 عشرةعاما
4,5,تكبره ب15 عشرةعاما
4,5,15
4,5,خمسةعشرةعاما
4,5,خمس عشرة سنة
4,5,السيدة خديجة كانت تكبر النبي محمد صلى الله عليه وسلم بخمس عشرة سنة
4,5,السيدة خديجة كانت تكبر النبي محمد صلى الله عليه وسلم بخمسة عشرة عاما
4,5,كانت تكبر النبي بخمس عشرة عاما
4,5,كانت تكبر النبي صلى الله عليه وسلم بخمس عشرة عاما
4,5,كانت تكبر النبي صلى الله عليه وسلم بخمس عشرة سنة
4,5,كانت تكبر النبي صلى الله عليه وسلم بـ15 سنة
4,5,كانت تكبر النبي صلى الله عليه وسلم بـ15 عشرة عاما
4,5,تكبره بـ15 عشرة عاما
4,5,كانت تكبره بـ15 سنة
4,5,كانت تكبره بـ15 عاما
4,5,السيدة خديجة كانت أكبر من النبي محمد صلى الله عليه وسلم بخمس عشرة سنة
4,5,بفارق خمس عشرة سنة، كانت السيدة خديجة أكبر من النبي محمد صلى الله عليه وسلم
4,5,كانت السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر بخمس عشرة سنة
4,5,كانت السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر ب  15
4,5,بفارق العمر بينهما البالغ خمس عشرة سنة، كانت السيدة خديجة تكبر النبي محمد صلى الله عليه وسلم
4,5,الفارق العمري بين السيدة خديجة والنبي محمد صلى الله عليه وسلم كان خمس عشرة سنة، حيث كانت تكبره
4,5,كانت السيدة خديجة في مقام الكبر والفضل العمري على النبي محمد صلى الله عليه وسلم بخمس عشرة سنة
4,5,بفضل فارق الأعمار البالغ خمس عشرة سنة، كانت السيدة خديجة تكبر النبي محمد صلى الله عليه وسلم
4,5,السيدة خديجة كانت أكبر سنًا من النبي محمد صلى الله عليه وسلم بخمس عشرة سنة
4,5,كانت السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر بخمس عشرة سنة كاملة
4,5,الفارق العمري بين السيدة خديجة والنبي محمد صلى الله عليه وسلم كان خمس عشرة سنة تمامًا
4,5,الفارق العمري بين السيدة خديجة والنبي محمد صلى الله عليه وسلم كان خمسة عشر عامًا
4,5,السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر بخمسة عشر عامًا
4,5,كانت السيدة خديجة أكبر سنًا من النبي محمد صلى الله عليه وسلم بخمسة عشر عامًا
4,5,في الفترة الزمنية بينهما التي تبلغ خمسة عشر عامًا، كانت السيدة خديجة تكبر النبي محمد صلى الله عليه وسلم
4,5,بفضل فجوة العمر التي تبلغ خمسة عشر عامًا، كانت السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر
4,5,كانت أكبر من النبي محمد صلى الله عليه وسلم بخمسة عشر عامًا كاملة
4,5,كانت السيدة خديجة تفوق النبي محمد صلى الله عليه وسلم في العمر بخمسة عشر عامًا تمامًا
4,5,الفارق العمري بين النبي محمد صلى الله عليه وسلم والسيدة خديجة كان خمسة عشرة عامًا
4,0,السيدة خديجة كانت أصغر من النبي محمد صلى الله عليه وسلم بخمسة عشر عامًا
4,0,16
4,0,كانت السيدة خديجة تفوق النبي 
4,0,كانت أكبر من النبي
4,0,11
4,0,السيدة خديجة كانت تكبر الرسول صلى الله عليه وسلم بـ 30 عامًا
4,0,السيدة خديجة كانت تكبر الرسول صلى الله عليه وسلم بـ 9 عامًا
4,0,بالنسبة للفارق العمري بين السيدة خديجة والرسول صلى الله عليه وسلم، كانت تكبره بـ 9
4,0,كان الرسول صلى الله عليه وسلم أكبر سنًا من السيدة خديجة بـ 15 عامًا
4,0,الرسول صلى الله عليه وسلم كان أصغر من السيدة خديجة بـ 30 عامًا
4,0,السيدة خديجة كانت أصغر من الرسول صلى الله عليه وسلم بعشرين عامًا
4,0,2
4,0,عشرين عامًا
4,0,23
5,4,الثّناء للشّيء فعل ما يشعر بتعظيمه
5,4,الكلام الجميل وفعل ما يُشعر الغير بالتعظيم
5,4,هو ذكر الغير بالخير
5,3,هو المديح
5,5,كل ما يقوم به الفرد من حديث وكلامٍ فيه تعظيم لله عز وجل
5,5,الاعتراف بفضل الله الكبير على البشرية
5,4,ما يذكر في محامد الناس فيتثنى حالا فحالا ذكره
5,3,الدعاء بفضل الله الكبير 
5,3,شكر الله على النعم 
5,3,شكر الله في الدعاء
5,3,الدعاء بأسمائه وصفاته العظيمة
5,4,يناجي الله ويحمده
5,4,الدعاء والتضرع له
5,4,جعل الدعاء لائقاً أكثر أمام الله
5,4,كثرة الدعاء
5,4,شكره على نعمه الكثيرة
5,1,بالصلاة والدعاء
5,1,بالصلاة
5,1,الدعاء الكثير
5,1,الحمد والشكر له
5,1,التأمل في آيات الله والتفكر في خلقه
5,2,التسبيح بحمد الله في جميع الأوقات
5,2,العمل الصالح والخدمة للآخرين
5,2,توجيه الشكر للناس على لطفهم
5,1,الابتسامة ونشر السعادة حولك
5,1,تقديم المساعدة والعون للمحتاجين
5,1,الاستسلام لعظمة الله ورفعه
5,1,تقدير الله وفعل الخير بتوجيهاته
5,1,التأمل في عظمة الخلق وابتهاج بخلق الله
5,1,التفكر في آيات الله وتحديد الفوائد منها
5,2,الاحترام لكل مظهر من مظاهر خلق الله
5,2,الامتنان لرحمة الله في كل لحظة
5,2,الالتفات للطبيعة والإشارة إلى إبداع الخالق
5,2,التواضع والاستشعار بأن كل شيء منح من الله
5,2,الصدق والإخلاص في العمل تحت إشراف الله
5,2,السعي للخيرات باتباع هدي الله
5,3,العمل الدائم على تحسين النفس بمساعدة الله
5,3,الابتهاج بفضائل الله في القرآن
5,3,التفاؤل والثقة بالله في كل الأمور
5,3,الدعاء بالهداية والرحمة للجميع
5,3,النظر إلى السماء والتأمل في عظمة الكون
5,3,الالتزام بالأخلاق الإسلامية في الحياة اليومية
5,3,الدعاء بالشفاء للمرضى والمحتاجين
5,2,العمل الخيري والتبرع بالوقت والمال
5,2,الثقة الكاملة في قدرة الله على حل المشاكل
5,2,الركوع والسجود كعلامة للتذلل أمام الله
5,2,الاستماع إلى آيات الله بتأمل واعتبار
5,2,التواضع والرضا بقضاء الله وقدره
5,2,الشكر لله في كل نعمة صغيرة وكبيرة
5,1,التدبر في حكم الله في الواقع اليومي
5,1,تقدير قدرة الله على خلق الحياة
5,1,الاستغفار والعودة إلى الله بعد الزلات
5,1,التفكير في عظمة الله في خلق الإنسان
5,1,الرضا بما قسمه الله والاستسلام للقدر
5,1,البحث عن الحكمة في أحكام الله
5,1,الابتهاج بتحقيق الأمنيات برعاية الله
5,1,التذكير بفضل الله في السعادة والنجاح
5,1,العمل الجاد والاجتهاد بنية إرضاء الله
5,3,التحلي بالصبر في مواجهة التحديات
5,3,الاستماع إلى القرآن وتأمل معانيه
5,3,البحث عن الحقيقة والمعرفة بإرشاد الله
5,3,الاعتزاز بالإسلام وتقدير نعم الهداية
5,3,الاستغفار والتوبة لرضا الله العلي القدير
5,3,الحفاظ على النعمة الصحية بشكر الله
5,3,المشاركة في الأعمال الخيرية بتوجيه الله
5,3,التفكير في عمق السماء وابتهاج بخلق الله
5,3,الاعتناء بالبيئة احتراماً لخلق الله
5,3,التفاؤل بالخير والبركة من الله
5,2,التواضع والاستقامة في العمل والعبادة
5,2,التدبر في معاني الأذكار والأدعية
5,2,التحلي بالأخلاق الإسلامية في التعامل
5,2,الابتهاج بالنجاحات الصغيرة بتوفيق الله
5,2,الصدق والنية الطيبة في الأعمال اليومية
5,2,التذكير بفضل الله في الراحة والأمان
5,2,الاحتفاء بذكرى نعم الله في الحياة
5,2,التفكير في عظمة الله في خلق الطبيعة
5,2,الابتسامة والفرح باللحظات الجميلة
5,2,العمل بنية خدمة الآخرين بتوجيه الله
5,1,التفكير في عظمة الله في إبداع الألوان
5,1,الدعاء بالراحة والتسهيل في الحياة
5,1,التركيز على الشكر والامتنان يومياً
5,1,الاستعانة بالله في كل القرارات
5,3,التواصل الجيد مع الآخرين بتوجيه الله
5,2,التأمل في حكمة الله في توجيه الأمور
5,1,الرغبة في تحقيق الخير بإرادة الله
5,3,التفكير في عظمة الله في تنوع الكائنات
5,3,التواضع والاستشعار برعاية الله الدائمة
5,0,الثناء على الله هو عبادة أشياء أخرى بجانبه
5,0,الثناء على الله هو تجاهل وجوده
5,0,هو القسوة والظلم
5,0,عدم الاعتراف بقدرته
5,0,هو تكريس العبادة لآلهة أخرى
5,0,الثناء على الله هو الشك والتردد في وجوده
5,0,الثناء على الله هو الإساءة والسب والشتم
5,0,هو الانحراف عن طريق الحق
5,0,الثناء على الله هو الجحود وعدم الاعتراف بنعمه
5,0,الثناء على الله هو الاستهزاء والسخرية منه
5,0,الثناء على الله هو الانكار والجحود لرسله
5,0,الثناء على الله هو التحريف والتزوير في كتابه
5,0,الثناء على الله هو الاستغفال والتضليل للناس
5,0,هو الإلحاد والتكفير
5,0,الخداع والغش في العبادة
5,0,لثناء على الله هو العبادة للأصنام والأوثان
5,0,الثناء على الله هو الاعتقاد بأنه غير قادر على الخلق والبناء
6,5,الصِّحة رزق، والأبناء رزق، والصُّحبة الصالحة رزق، والزوجة الصالحة رزقٌ لزوجها، وكذلك الزوج الصالح رزقٌ لزوجته، والوالدان رزق، والإيمان رزق، والعمل الصالح الذي يعمله العبد رزق، إلى غير ذلك من الأمور.
6,3,المال
6,3,الصحة
6,3,الابناء
6,3,الصحبة الصالحة
6,3,الزوجة الصالحة 
6,3,كل ما ينتفع به من مال او زرع 
6,3,هو ما يتهيأ للعبد من الله عز وجل بلا سعي منه ولا نية لتحصيله
6,5,هو ما يقسم الله تعالى لعباده من الطَعام والشراب واللباس
6,4,كل ما يمكن الانتفاع به واستهلاكه
6,3,الوالدان
6,3,الإيمان
6,3,العمل الصالح
6,5,الرزق هو جميع ما يأتي من الله للإنسان من نعم ورحمة
6,5,ما يُعطى للإنسان من الله تعالى من الطعام والشراب والمال والأولاد
6,4,رزق الإنسان يشمل كل ما يحتاجه للحياة الكريمة والاستمرار
6,2,هو اللطف والعناية التي يُولى الله بها لخلقه
6,3,كل ما يتمتع به الإنسان من خيرات الحياة
6,1,الرزق هو كل ما يُعطى للإنسان من الله ليعيش حياة كريمة
6,5,رزق الإنسان يشمل النعم المادية والروحية التي يحتاجها في حياته
6,2,رزق الإنسان هو اللهونة والعناية التي يُولى إليها من قِبل الله
6,4,الرزق هو النعم والفضائل التي يُعطيها الله للإنسان
6,4,كل ما يأتي من الله للإنسان من فضل ونعمة
6,3,الرزق هو كل ما يحتاجه الإنسان للعيش بكرامة
6,5,كل ما يأتي للإنسان من الله سواء كان مالًا أو صحة أو عقل
6,3,رزق الإنسان يشمل كل ما يُعينه على العيش براحة
6,3,الرزق هو كل ما يُمكن الإنسان من العيش بكرامة واستقرار
6,3,رزق الإنسان يشمل النعم الروحية والمادية
6,2,الرزق هو اللهونة والعناية التي يُولى إليها الإنسان
6,3,كل ما يأتي من الله للإنسان يُعتبر رزقًا
6,3,الرزق هو كل ما يُعطى للإنسان من الله ليحيا حياة كريمة
6,2,رزق الإنسان يشمل كل ما يُساعده على العيش براحة
6,3,كل ما يأتي للإنسان من الله يُعتبر جزءًا من رزقه
6,2,الرزق هو اللهونة والعناية التي يُولى الله بها لخلقه
6,3,كل ما يأتي للإنسان من الله يُعتبر رزقًا من السماء
6,3,الرزق هو كل ما يحتاجه الإنسان للعيش براحة
6,1,رزق الإنسان يشمل كل ما يحتاجه في حياته اليومية
6,3,كل ما يأتي للإنسان من الله سواء كان ماديًا أو روحيًا
6,3,كل ما يأتي للإنسان من الله يُعتبر رزقًا
6,3,الرزق هو كل ما يحتاجه الإنسان للعيش براحة
6,2,الرزق هو اللهبة التي تضيء حياة الإنسان وتسهم في سعادته
6,2,كل ما يأتي من الله للفرد سواء كان ذلك في مجال الصحة أو المال أو العلم
6,2,الرزق هو النعمة التي لا يمكن للإنسان أن يحصل عليها بمفرده دون إرادة الله
6,3,كل ما يحتاجه الإنسان للعيش بكرامة هو جزء من الرزق
6,2,الرزق هو ما يمكن الإنسان من تحقيق أهدافه وتطوير حياته
6,2,الرزق هو الثقة التي يضعها الله في عباده ليتحملوا مسؤوليات الحياة
6,2,الرزق هو مظهر من مظاهر رحمة الله التي تشمل جميع جوانب حياة الإنسان
6,2,الرزق هو النعمة التي يجب على الإنسان أن يشكر الله عليها بكل حال
6,3,كل ما يأتي بفضل الله في حياة الإنسان يعتبر جزءًا من الرزق
6,3,الرزق هو اللهبة الحية التي تحافظ على حياة الإنسان
6,3,كل ما يأتي بفعل إرادة الله وبركة رحمته يعد جزءًا من الرزق
6,3,الرزق هو القوة التي تمكن الإنسان من التغلب على التحديات في حياته
6,3,الرزق هو النعمة التي تأتي من الله دون أن يكون للإنسان دور في اختيارها
6,3,الرزق هو الطاقة التي يحصل عليها الإنسان ليواجه تحديات الحياة
6,3,كل ما يسهم في تحسين جودة حياة الإنسان هو نتيجة لإرادة الله ورزقه
6,2,الرزق هو السلام والرضا الذي يشعر به الإنسان عندما يكون مقبولًا عند الله
6,3,الرزق هو النعمة التي تظهر في حياة الإنسان على شكل فرص وتحديات
6,3,الرزق هو الثقة التي يمنحها الله للإنسان ليحقق أهدافه وطموحاته
